"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","37","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Game/Assets/City_of_Brass_Props/Materials/base_material.base_material","0","60","4","1","411.351044","0","352"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","37","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","23","1","0.000000","0","0"
"/Game/EnvironmentPack2/Materials/M_Rock09.M_Rock09","0","23","1","1","75.056503","0","279"
"/Game/EnvironmentPack2/Materials/M_RiverRock_01.M_RiverRock_01","0","14","1","1","49.418297","0","118"
"/Game/EnvironmentPack2/Materials/M_Plate.M_Plate","0","14","2","1","65.951279","0","116"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Game/EnvironmentPack2/Materials/M_Pit_Grass.M_Pit_Grass","0","15","1","1","107.027397","0","136"
"/Game/EnvironmentPack2/Materials/M_PaperLantern.M_PaperLantern","0","23","1","1","73.187592","0","298"
"/Game/EnvironmentPack2/Materials/M_Old_Cherry_TreeAlpha.M_Old_Cherry_TreeAlpha","0","42","1","1","163.951721","0","925"
"/Game/EnvironmentPack2/Materials/M_OldStone_NRM.M_OldStone_NRM","0","24","1","1","120.893715","0","325"
"/Game/EnvironmentPack2/Materials/M_OakTree_Leaves.M_OakTree_Leaves","0","29","1","1","125.973434","0","427"
"/Game/EnvironmentPack2/Materials/M_OakTree.M_OakTree","0","14","1","1","51.953705","0","110"
"/Game/EnvironmentPack2/Materials/M_Metal_01.M_Metal_01","0","14","1","1","61.391052","0","118"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Windows.M_MapRoom_Windows","0","14","1","1","54.467598","0","118"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Curtains.M_MapRoom_Curtains","0","29","1","1","109.751740","0","451"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Wall.M_MapRoom_Wall","0","14","1","1","60.452641","0","118"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Stairs.M_MapRoom_Stairs","0","14","1","1","70.635651","0","118"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Pillars.M_MapRoom_Pillars","0","14","1","1","52.323433","0","107"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Floor.M_MapRoom_Floor","0","14","1","1","44.301815","0","110"
"/Game/EnvironmentPack2/Materials/M_DungeonMainDoor.M_DungeonMainDoor","0","14","1","1","51.793449","0","118"
"/Game/EnvironmentPack2/Materials/M_Lotus.M_Lotus","0","42","1","1","182.608276","0","887"
"/Game/EnvironmentPack2/Materials/M_IvyWall_01_Emissive.M_IvyWall_01_Emissive","0","29","1","1","95.327667","0","493"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/EnvironmentPack2/Materials/M_IvyWall_01T_IvyWall_01.M_IvyWall_01T_IvyWall_01","0","29","1","1","83.553383","0","464"
"/Game/EnvironmentPack2/Materials/M_IvyWall_01.M_IvyWall_01","0","29","1","1","86.963425","0","492"
